filename,published,modified,expires,deprecated
build-database-clusters-with-mongodb.md,2010-09-30 00:00:00,2017-02-27 00:00:00,,False
create-a-mongodb-replica-set.md,2016-12-02 00:00:00,2017-02-27 00:00:00,,False
creating-a-mongodb-replication-set-on-centos-6-4.md,2014-04-09 00:00:00,2014-04-09 00:00:00,,True
creating-a-mongodb-replication-set-on-debian-7-wheezy.md,2014-04-09 00:00:00,2014-08-13 00:00:00,,True
creating-a-mongodb-replication-set-on-ubuntu-12-04-precise.md,2014-04-09 00:00:00,2014-08-13 00:00:00,,True
install-mongodb-on-centos-7.md,2016-12-30 00:00:00,2016-12-30 00:00:00,,False
install-mongodb-on-ubuntu-16-04.md,2016-05-20 00:00:00,2016-12-30 00:00:00,,False
use-mongodb-to-store-application-data-on-centos-5.md,2010-03-24 00:00:00,2011-04-29 00:00:00,,True
use-mongodb-to-store-application-data-on-debian-5-lenny.md,2010-02-03 00:00:00,2011-04-29 00:00:00,,True
use-mongodb-to-store-application-data-on-fedora-12.md,2010-03-22 00:00:00,2011-04-29 00:00:00,,True
use-mongodb-to-store-application-data-on-fedora-13.md,2010-05-27 00:00:00,2011-04-29 00:00:00,,True
use-mongodb-to-store-application-data-on-fedora-14.md,2010-11-23 00:00:00,2013-09-24 00:00:00,,True
use-mongodb-to-store-application-data-on-ubuntu-10-04-lucid.md,2010-05-03 00:00:00,2013-09-24 00:00:00,,True
use-mongodb-to-store-application-data-on-ubuntu-10-10-maverick.md,2010-10-12 00:00:00,2012-10-03 00:00:00,,True
use-mongodb-to-store-application-data-on-ubuntu-12-04-precise.md,2012-10-08 00:00:00,2012-10-08 00:00:00,,True
use-mongodb-to-store-application-data-on-ubuntu-9-10-karmic.md,2010-03-24 00:00:00,2011-04-29 00:00:00,,True
back-up-your-mysql-databases.md,2010-04-19 00:00:00,2013-09-11 00:00:00,,False
configure-master-master-mysql-database-replication.md,2014-12-24 00:00:00,2017-10-10 00:00:00,,False
create-an-ssh-tunnel-for-mysql-remote-access.md,2010-01-06 00:00:00,2013-08-22 00:00:00,,False
deploy-mysql-relational-databases-on-ubuntu-12-04-precise-pangolin.md,2012-10-08 00:00:00,2015-09-11 00:00:00,,True
deploy-mysql-workbench-for-database-administration.md,2015-12-04 00:00:00,2017-08-01 00:00:00,,False
how-to-install-mysql-on-centos-6.md,2014-01-22 00:00:00,2017-09-05 00:00:00,,False
how-to-install-mysql-on-centos-7.md,2015-08-27 00:00:00,2017-09-05 00:00:00,,False
how-to-install-mysql-on-debian-7.md,2014-01-14 00:00:00,2017-09-05 00:00:00,,False
how-to-install-mysql-on-debian-8.md,2015-06-12 00:00:00,2015-08-26 00:00:00,,False
how-to-optimize-mysql-performance-using-mysqltuner.md,2015-02-27 00:00:00,2017-06-27 00:00:00,,False
install-and-configure-mysql-workbench-on-ubuntu.md,2017-08-08 00:00:00,2017-08-08 00:00:00,,False
